rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,1,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,101148,-5094,-32436.082,-102220.005,-31.1150000000016,-18688,104753,1767,0.308125348418523,-0.100198666378174,-0.203055477651183,-0.0309088087379216,-0.00170980327508526,-0.254106385293158,0.125655549317941,0.477438530126993,101148,5094,32436.082,102220.005,31.1150000000016,18688,104753,1767,366137.202,134687.202,0.961353263018474,96054,1.25336843326968,49198.7980000004,1.01030321683922,0.0191008359631959,1.24058640255635
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,2,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,95889,5298,-33055.151,-182693.131000001,-31.1150000000016,-18688,85540,1767,0.292104950513146,0.104211333818525,-0.206930956554401,-0.0552418975503972,-0.00170980327508526,-0.254106385293158,0.102608762409255,0.477438530126993,95889,5298,33055.151,182693.131000001,31.1150000000016,18688,85540,1767,422961.397000001,215779.397000001,0.93808491469077,101187,1.26690811061755,45973.3970000017,0.990372246937283,0.0221683973647843,1.27922416498994
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,3,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,81830,11257,-33988.748,-88622.2570000011,-31.1150000000016,-18688,88246,1767,0.24927726955637,0.221424496941325,-0.212775435082008,-0.0267971850670128,-0.00170980327508526,-0.254106385293158,0.10585472115463,0.477438530126993,81830,11257,33988.748,88622.2570000011,31.1150000000016,18688,88246,1767,324430.120000001,122642.120000002,0.964809442292098,93087,1.24554216740348,41769.879999999,1.0087474521428,0.0186367788378079,1.2347413267391
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,4,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,70088,8126,-35406.191,-71281.970999999,-4305.818,-18688,95222,479,0.213507824375741,0.159837919707311,-0.221648873168899,-0.0215539101969428,-0.236609407627212,-0.254106385293158,0.114222721231401,0.129424479870305,70088,8126,35406.191,71281.970999999,4305.818,18688,95222,479,303596.979999999,110993.979999999,0.968151724232917,78214,1.20631060278338,44233.0200000014,1.00926328315,0.0155005587799367,1.19523876764681
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,5,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,83647,16168,-36907.956,-78215.6609999985,-31.1150000000016,-18688,88016,1767,0.254812364250051,0.318023564586243,-0.231050181545011,-0.0236504870661968,-0.00170980327508526,-0.254106385293158,0.105578826656686,0.477438530126993,83647,16168,36907.956,78215.6609999985,31.1150000000016,18688,88016,1767,323440.731999998,115154.731999999,0.966957850681447,99815,1.263289089125,55755.2680000011,1.01167627339458,0.019745697969689,1.24870882351145
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,6,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,91858,12639,-38318.58,-34540.3550000004,-3387.227,-18688,101480,743,0.279825387106306,0.248608351855859,-0.23988093151371,-0.0104441515771294,-0.186131827673371,-0.254106385293158,0.121729450658068,0.200756552283167,91858,12639,38318.58,34540.3550000004,3387.227,18688,101480,743,301654.162,76246.1620000005,0.978122157674158,104497,1.27563913185689,111785.838,1.02341020055953,0.0195670995722111,1.24645927034874
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,7,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,98353,2587,-31716.076,-107990.050999999,-3387.227,-18688,97095,743,0.299610989767538,0.0508861307264108,-0.198548115687993,-0.0326535283573638,-0.186131827673371,-0.254106385293158,0.116469462077701,0.200756552283167,98353,2587,31716.076,107990.050999999,3387.227,18688,97095,743,360559.353999999,143093.353999999,0.95894122727531,100940,1.26625658123806,36996.6460000016,1.00774784103591,0.0203659489789265,1.25652125430149
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,1,8,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,100592,5686,-34541.815,-125955.086000001,-5077.338,-18688,96594,247,0.306431615534821,0.111843269930565,-0.21623773006135,-0.0380857119185477,-0.279005275304979,-0.254106385293158,0.115868491888702,0.0667387192650635,100592,5686,34541.815,125955.086000001,5077.338,18688,96594,247,387381.239000001,165574.239000001,0.952490630360341,106278,1.28033700159321,18856.760999999,1.00394898463715,0.0218569149177216,1.27530085809684
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,2,1,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,78592,3776,-34875.286,-109213.794,-1831.98,-18688,93403,1767,0.239413407906321,0.0742736875233581,-0.218325316138725,-0.0330235580627174,-0.100669304319156,-0.254106385293158,0.112040755615053,0.477438530126993,78592,3776,34875.286,109213.794,1831.98,18688,93403,1767,342147.06,145921.06,0.958129853897436,82368,1.2172679025502,12928.9400000004,1.00270757981366,0.0169885539014698,1.21398095222977
fgridln11-2179,8.94327475763024,0.697801016594411,0.883050003014723,1499,-7.50891326774539,2.11890839731488,3.39766628779699,0.420042231021476,0.587556706413767,0.348656432762027,0.692431312135309,4.66749508774002,14,0,7,6,10,5,2,2,1499,8.94327475763024,-7.50891326774539,0.348656432762027,14,5,93314,-2062,-34875.286,-249901.236,-1831.98,-18688,61061,1767,0.284260773938447,-0.0405594130490372,-0.218325316138725,-0.0755639711316217,-0.100669304319156,-0.254106385293158,0.0732451910389467,0.477438530126993,93314,2062,34875.286,249901.236,1831.98,18688,61061,1767,463500.502,286608.502,0.917761426260356,91252,1.24070185804573,151216.502,0.968332226129303,0.0223313817148876,1.28127704992858
