step,command,dwelling-type,from-state,to-state,cost
60,change,bung-det-cavity-1,minimum,dg,2590
60,change,bung-det-cavity-1,minimum,loft270,350
60,change,bung-det-cavity-1,minimum,cwi,350
60,change,bung-det-cavity-1,loft100,dg-loft100,2590
60,change,bung-det-cavity-1,loft100,loft270,350
60,change,bung-det-cavity-1,loft100,loft100-cwi,350
60,change,bung-det-cavity-1,dg,dg-loft270,350
60,change,bung-det-cavity-1,dg,dg-cwi,350
60,change,bung-det-cavity-1,cwi,dg-cwi,2590
60,change,bung-det-cavity-1,cwi,loft270-cwi,350
60,change,bung-det-cavity-1,loft270,dg-loft270,2590
60,change,bung-det-cavity-1,loft270,loft270-cwi,350
60,change,bung-det-cavity-1,dg-loft100,dg-loft270,350
60,change,bung-det-cavity-1,dg-loft100,dg-loft100-cwi,350
60,change,bung-det-cavity-1,loft100-cwi,dg-loft100-cwi,2590
60,change,bung-det-cavity-1,loft100-cwi,loft270-cwi,350
60,change,bung-det-cavity-1,dg-cwi,dg-loft270-cwi,350
60,change,bung-det-cavity-1,dg-loft270,dg-loft270-cwi,350
60,change,bung-det-cavity-1,loft270-cwi,dg-loft270-cwi,2590
60,change,bung-det-cavity-1,dg-loft100-cwi,dg-loft270-cwi,350
60,change,bung-det-cavity-2,minimum,dg,2590
60,change,bung-det-cavity-2,minimum,loft270,350
60,change,bung-det-cavity-2,minimum,cwi,350
60,change,bung-det-cavity-2,loft100,dg-loft100,2590
60,change,bung-det-cavity-2,loft100,loft270,350
60,change,bung-det-cavity-2,loft100,loft100-cwi,350
60,change,bung-det-cavity-2,dg,dg-loft270,350
60,change,bung-det-cavity-2,dg,dg-cwi,350
60,change,bung-det-cavity-2,cwi,dg-cwi,2590
60,change,bung-det-cavity-2,cwi,loft270-cwi,350
60,change,bung-det-cavity-2,loft270,dg-loft270,2590
60,change,bung-det-cavity-2,loft270,loft270-cwi,350
60,change,bung-det-cavity-2,dg-loft100,dg-loft270,350
60,change,bung-det-cavity-2,dg-loft100,dg-loft100-cwi,350
60,change,bung-det-cavity-2,loft100-cwi,dg-loft100-cwi,2590
60,change,bung-det-cavity-2,loft100-cwi,loft270-cwi,350
60,change,bung-det-cavity-2,dg-cwi,dg-loft270-cwi,350
60,change,bung-det-cavity-2,dg-loft270,dg-loft270-cwi,350
60,change,bung-det-cavity-2,loft270-cwi,dg-loft270-cwi,2590
60,change,bung-det-cavity-2,dg-loft100-cwi,dg-loft270-cwi,350
60,change,bung-det-cavity-3,minimum,dg,2590
60,change,bung-det-cavity-3,minimum,loft270,350
60,change,bung-det-cavity-3,minimum,cwi,350
60,change,bung-det-cavity-3,loft100,dg-loft100,2590
60,change,bung-det-cavity-3,loft100,loft270,350
60,change,bung-det-cavity-3,loft100,loft100-cwi,350
60,change,bung-det-cavity-3,dg,dg-loft270,350
60,change,bung-det-cavity-3,dg,dg-cwi,350
60,change,bung-det-cavity-3,cwi,dg-cwi,2590
60,change,bung-det-cavity-3,cwi,loft270-cwi,350
60,change,bung-det-cavity-3,loft270,dg-loft270,2590
60,change,bung-det-cavity-3,loft270,loft270-cwi,350
60,change,bung-det-cavity-3,dg-loft100,dg-loft270,350
60,change,bung-det-cavity-3,dg-loft100,dg-loft100-cwi,350
60,change,bung-det-cavity-3,loft100-cwi,dg-loft100-cwi,2590
60,change,bung-det-cavity-3,loft100-cwi,loft270-cwi,350
60,change,bung-det-cavity-3,dg-cwi,dg-loft270-cwi,350
60,change,bung-det-cavity-3,dg-loft270,dg-loft270-cwi,350
60,change,bung-det-cavity-3,loft270-cwi,dg-loft270-cwi,2590
