,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
23,E,E,dwu-1013,dwu-239,dwu-515,dwu-1046,dwu-408,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
22,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
21,S,P,dwu-303,dwu-556,dwu-560,dwu-559,dwu-343,dwu-602,dwu-295,dwu-948,P,S,P,dwu-257,dwu-332,dwu-963,dwu-93,dwu-296,dwu-507,dwu-972,dwu-256,P,S,P,dwu-255,dwu-29,dwu-143,dwu-236,dwu-338,dwu-396,dwu-994,dwu-1011,P,S
20,S,dwu-344,E,E,E,E,E,E,E,E,dwu-605,S,dwu-918,E,E,E,E,E,E,E,E,dwu-228,S,dwu-1096,E,E,E,E,E,E,E,E,dwu-645,S
19,S,dwu-319,E,E,E,E,E,E,E,E,dwu-46,S,dwu-901,E,E,E,E,E,E,E,E,dwu-1020,S,dwu-1058,E,E,E,E,E,E,E,E,dwu-1103,S
18,S,dwu-966,E,E,E,E,E,E,E,E,dwu-503,S,dwu-1073,E,E,E,E,E,E,E,E,dwu-551,S,dwu-1056,E,E,E,E,E,E,E,E,dwu-1033,S
17,S,dwu-568,E,E,E,E,E,E,E,E,dwu-420,S,dwu-1053,E,E,E,E,E,E,E,E,dwu-1019,S,dwu-1055,E,E,E,E,E,E,E,E,dwu-1022,S
16,S,dwu-532,E,E,E,E,E,E,E,E,dwu-592,S,dwu-1025,E,E,E,E,E,E,E,E,dwu-983,S,dwu-1042,E,E,E,E,E,E,E,E,dwu-1006,S
15,S,dwu-528,E,E,E,E,E,E,E,E,dwu-584,S,dwu-979,E,E,E,E,E,E,E,E,dwu-1060,S,dwu-1032,E,E,E,E,E,E,E,E,dwu-962,S
14,S,dwu-314,E,E,E,E,E,E,E,E,dwu-487,S,dwu-973,E,E,E,E,E,E,E,E,dwu-1047,S,dwu-1031,E,E,E,E,E,E,E,E,dwu-550,S
13,S,dwu-160,E,E,E,E,E,E,E,E,dwu-339,S,dwu-958,E,E,E,E,E,E,E,E,dwu-1015,S,dwu-1026,E,E,E,E,E,E,E,E,dwu-392,S
12,S,P,dwu-536,dwu-42,dwu-274,dwu-316,dwu-348,dwu-406,dwu-547,dwu-635,P,S,P,dwu-964,dwu-982,dwu-1045,dwu-422,dwu-475,dwu-907,dwu-939,dwu-941,P,S,P,dwu-993,dwu-996,dwu-998,dwu-1000,dwu-1004,dwu-1005,dwu-1007,dwu-1012,P,S
11,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
10,S,P,dwu-999,dwu-1024,dwu-1038,dwu-1044,dwu-485,dwu-898,dwu-977,dwu-986,P,S,P,dwu-301,dwu-347,dwu-400,dwu-494,dwu-555,dwu-593,dwu-1072,dwu-403,P,S,P,dwu-959,dwu-967,dwu-969,dwu-970,dwu-976,dwu-980,dwu-984,dwu-988,P,S
9,S,dwu-989,E,E,E,E,E,E,E,E,dwu-905,S,dwu-428,E,E,E,E,E,E,E,E,dwu-288,S,dwu-290,E,E,E,E,E,E,E,E,dwu-957,S
8,S,dwu-985,E,E,E,E,E,E,E,E,dwu-938,S,dwu-289,E,E,E,E,E,E,E,E,dwu-287,S,dwu-237,E,E,E,E,E,E,E,E,dwu-947,S
7,S,dwu-909,E,E,E,E,E,E,E,E,dwu-107,S,dwu-285,E,E,E,E,E,E,E,E,dwu-115,S,dwu-997,E,E,E,E,E,E,E,E,dwu-937,S
6,S,dwu-904,E,E,E,E,E,E,E,E,dwu-1017,S,dwu-276,E,E,E,E,E,E,E,E,dwu-104,S,dwu-919,E,E,E,E,E,E,E,E,dwu-920,S
5,S,dwu-1050,E,E,E,E,E,E,E,E,dwu-1093,S,dwu-230,E,E,E,E,E,E,E,E,dwu-51,S,dwu-517,E,E,E,E,E,E,E,E,dwu-902,S
4,S,dwu-1002,E,E,E,E,E,E,E,E,dwu-1066,S,dwu-148,E,E,E,E,E,E,E,E,dwu-553,S,dwu-284,E,E,E,E,E,E,E,E,dwu-899,S
3,S,dwu-990,E,E,E,E,E,E,E,E,dwu-1040,S,dwu-98,E,E,E,E,E,E,E,E,dwu-543,S,dwu-915,E,E,E,E,E,E,E,E,dwu-565,S
2,S,dwu-965,E,E,E,E,E,E,E,E,dwu-1001,S,dwu-425,E,E,E,E,E,E,E,E,dwu-505,S,dwu-787,E,E,E,E,E,E,E,E,dwu-549,S
1,S,P,dwu-900,dwu-911,dwu-940,dwu-1014,dwu-906,dwu-913,dwu-933,dwu-946,P,S,P,dwu-992,dwu-1027,dwu-1028,dwu-1034,dwu-1036,dwu-971,dwu-981,dwu-1021,P,S,P,dwu-987,dwu-1039,dwu-264,dwu-499,dwu-1016,dwu-991,dwu-955,dwu-312,P,S
0,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
