rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,split,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,1,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,240922,30727,2234.054,1473740.128,0,5461,523774,0,1.219685310437,1.13000147102089,0.0341228024621589,0.880678210724775,NA,0.189756419611522,1.3100507238402,NA,240922,30727,2234.054,1473740.128,0,5461,523774,0,2276858.182,1475974.182,1.84880445411603,271649,2.20883321466714,2276858.182,1.95178540145314,0.012371621737978,1.13169880921469
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,2,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,233746,40522,6519.804,1584032.106,0,5461,551885,0,1.18335628366611,1.4902177110915,0.0995830825861833,0.946586534720916,NA,0.189756419611522,1.3803612697968,NA,233746,40522,6519.804,1584032.106,0,5461,551885,0,2422165.91,1590551.91,1.91469590875998,274268,2.22048771804913,2422165.91,2.01252777676755,0.00970694542111206,1.10333270610336
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,3,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,241355,47740,4394.072,1516739.997,0,5461,540096,0,1.22187740472237,1.75566343042071,0.0671147836446671,0.906374089511567,NA,0.189756419611522,1.35087491120827,NA,241355,47740,4394.072,1516739.997,0,5461,540096,0,2355786.069,1521134.069,1.87477503930677,289095,2.28646760412958,2355786.069,1.9847792924245,0.0142787782561841,1.15200093675734
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,4,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,233854,71264,7558.17999999999,1447795.825,0,5461,548684,0,1.1839030415941,2.62077081494557,0.115443173313375,0.865174403838857,NA,0.189756419611522,1.37235500685322,NA,233854,71264,7558.17999999999,1447795.825,0,5461,548684,0,2314617.005,1455354.005,1.83694618566139,305118,2.35776966892132,2314617.005,1.96756956262381,0.0186295374735498,1.19831578700433
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,5,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,224246,56573,6519.804,1594858.262,0,5461,556082,0,1.13526183629663,2.08050161812298,0.0995830825861833,0.953056033321082,NA,0.189756419611522,1.39085870359069,NA,224246,56573,6519.804,1594858.262,0,5461,556082,0,2443740.066,1601378.066,1.92092182351229,280819,2.24963955144179,2443740.066,2.02154633000543,0.0105992092166693,1.11283106305842
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,6,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,229108,59700,7558.17999999999,1502889.664,0,5461,546872,0,1.15987606820299,2.1954986760812,0.115443173313375,0.898097402019224,NA,0.189756419611522,1.36782287675207,NA,229108,59700,7558.17999999999,1502889.664,0,5461,546872,0,2351588.844,1510447.844,1.86862959618974,288808,2.28519045923816,2351588.844,1.98302474419958,0.0143140271750157,1.15237616974898
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,7,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,250144,33518,10722.288,1508340.3,0,5461,546187,0,1.26637236239925,1.23264195351574,0.163771562982084,0.901354595243856,NA,0.189756419611522,1.3661095714986,NA,250144,33518,10722.288,1508340.3,0,5461,546187,0,2354372.588,1519062.588,1.87358377029891,283662,2.2622908508366,2354372.588,1.9841884209369,0.013166388249117,1.14015928475602
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,3,8,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,252654,54354,8562.26999999999,1527508.64,0,5461,562290,0,1.27907942165161,1.99889673433363,0.130779581799575,0.912809219470364,NA,0.189756419611522,1.40638600142067,NA,252654,54354,8562.26999999999,1527508.64,0,5461,562290,0,2410829.91,1536070.91,1.88336493019094,307008,2.36618013527946,2410829.91,2.00778903660526,0.0167681025326725,1.17850037635436
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,1,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,232514,45620,10761.472,1583336.162,0,5461,546802,0,1.1771191932283,1.67769932333039,0.164370056971789,0.946170652229124,NA,0.189756419611522,1.3676477944634,NA,232514,45620,10761.472,1583336.162,0,5461,546802,0,2424494.634,1594097.634,1.91673498665237,278134,2.2376913492346,2424494.634,2.01350124341766,0.0104594614742537,1.11134341562979
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,2,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,255776,30099,12921.49,1571297.658,0,5461,560951,0,1.29488477582925,1.10690644307149,0.197362038154297,0.938976678229847,NA,0.189756419611522,1.40303692735586,NA,255776,30099,12921.49,1571297.658,0,5461,560951,0,2436506.148,1584219.148,1.91105405874796,285875,2.27213866144535,2436506.148,2.01852236584194,0.0118028903830223,1.12564453081877
