id,tenure,type
dwu-42,owned,flat-non-top-solid-1
dwu-51,owned,flat-non-top-cavity-2
dwu-107,owned,bung-det-solid-4
dwu-115,rented,flat-non-top-cavity-2
dwu-143,owned,house-semi-solid-3
dwu-148,rented,flat-non-top-cavity-1
dwu-239,owned,house-semi-solid-4
dwu-264,owned,house-mid-cavity-3
dwu-276,rented,flat-non-top-cavity-1
dwu-284,owned,house-semi-cavity-2
dwu-285,rented,flat-non-top-cavity-1
dwu-287,rented,flat-non-top-cavity-2
dwu-290,owned,house-semi-cavity-3
dwu-301,rented,flat-non-top-cavity-2
dwu-303,owned,flat-top-solid-2
dwu-314,owned,flat-non-top-solid-2
dwu-316,owned,flat-non-top-solid-1
dwu-332,rented,house-end-cavity-2
dwu-338,owned,house-semi-solid-3
dwu-339,owned,flat-top-cavity-1
dwu-343,owned,flat-top-solid-4
dwu-344,owned,flat-non-top-solid-3
dwu-347,rented,flat-non-top-cavity-2
dwu-408,owned,house-semi-solid-5
dwu-475,owned,house-det-cavity-4
dwu-503,owned,flat-top-cavity-3
dwu-505,rented,flat-non-top-cavity-1
dwu-507,owned,house-end-solid-4
dwu-515,owned,house-semi-solid-4
dwu-532,owned,flat-non-top-solid-2
dwu-536,rented,flat-non-top-cavity-3
dwu-543,owned,flat-non-top-cavity-1
dwu-547,rented,flat-non-top-solid-1
dwu-553,rented,flat-non-top-cavity-1
dwu-556,owned,flat-top-solid-2
dwu-559,owned,flat-top-solid-3
dwu-560,owned,flat-top-solid-2
dwu-584,owned,flat-top-cavity-2
dwu-592,owned,flat-top-cavity-2
dwu-593,rented,flat-non-top-cavity-2
dwu-602,owned,flat-top-solid-4
dwu-787,owned,house-mid-solid-4
dwu-899,owned,house-semi-cavity-3
dwu-900,owned,bung-det-cavity-2
dwu-901,owned,house-det-cavity-5
dwu-902,owned,house-semi-cavity-3
dwu-906,owned,bung-det-cavity-3
dwu-907,owned,house-det-cavity-4
dwu-909,owned,bung-det-cavity-4
dwu-918,owned,house-det-cavity-5
dwu-920,owned,house-semi-cavity-3
dwu-933,owned,bung-det-cavity-3
dwu-937,owned,house-semi-cavity-3
dwu-938,owned,bung-det-solid-4
dwu-939,owned,house-det-cavity-4
dwu-947,owned,house-semi-cavity-3
dwu-964,owned,house-det-cavity-3
dwu-966,owned,flat-non-top-solid-2
dwu-967,owned,house-semi-cavity-3
dwu-969,owned,house-semi-cavity-3
dwu-970,owned,house-semi-cavity-3
dwu-971,owned,bung-semi-cavity-4
dwu-977,owned,bung-semi-cavity-3
dwu-980,owned,house-semi-cavity-3
