id,tenure,type
dwu-29,owned,house-semi-solid-3
dwu-46,owned,flat-top-solid-1
dwu-93,owned,house-end-solid-3
dwu-98,owned,flat-non-top-cavity-1
dwu-104,rented,flat-non-top-cavity-2
dwu-160,owned,flat-non-top-solid-2
dwu-228,owned,house-det-solid-5
dwu-230,rented,flat-non-top-cavity-1
dwu-236,owned,house-semi-solid-3
dwu-237,owned,house-semi-cavity-3
dwu-255,owned,house-semi-solid-2
dwu-256,owned,house-end-solid-5
dwu-257,owned,house-end-cavity-1
dwu-274,rented,flat-non-top-solid-1
dwu-288,owned,flat-non-top-cavity-2
dwu-289,rented,flat-non-top-cavity-1
dwu-295,owned,house-det-cavity-3
dwu-296,owned,house-end-solid-4
dwu-312,owned,house-mid-solid-3
dwu-319,owned,flat-non-top-solid-3
dwu-348,rented,flat-non-top-solid-1
dwu-392,owned,house-semi-cavity-4
dwu-396,owned,house-semi-solid-3
dwu-400,owned,flat-non-top-cavity-2
dwu-403,owned,flat-non-top-cavity-3
dwu-406,owned,flat-non-top-solid-1
dwu-420,owned,flat-top-cavity-3
dwu-422,owned,house-det-cavity-4
dwu-425,owned,bung-semi-solid-4
dwu-428,owned,flat-non-top-cavity-1
dwu-485,owned,bung-semi-cavity-3
dwu-487,owned,flat-top-cavity-2
dwu-494,owned,flat-non-top-cavity-2
dwu-499,owned,house-mid-cavity-3
dwu-517,owned,house-semi-cavity-2
dwu-528,owned,flat-non-top-solid-2
dwu-549,owned,house-semi-cavity-3
dwu-550,owned,house-semi-cavity-4
dwu-551,owned,house-det-solid-3
dwu-555,owned,flat-non-top-cavity-2
dwu-565,owned,house-semi-cavity-3
dwu-568,owned,flat-non-top-solid-2
dwu-605,owned,flat-top-solid-1
dwu-635,owned,flat-non-top-solid-1
dwu-645,owned,house-semi-cavity-5
dwu-898,owned,bung-semi-cavity-3
dwu-904,owned,bung-det-cavity-4
dwu-905,rented,bung-semi-cavity-2
dwu-911,owned,bung-det-cavity-2
dwu-913,owned,bung-det-cavity-3
dwu-915,rented,house-semi-cavity-1
dwu-919,owned,house-semi-cavity-2
dwu-940,owned,bung-det-cavity-2
dwu-941,owned,house-det-cavity-4
dwu-946,owned,bung-det-cavity-3
dwu-948,owned,house-det-cavity-3
dwu-955,owned,house-mid-solid-2
dwu-957,owned,house-semi-cavity-3
dwu-958,owned,house-det-cavity-4
dwu-959,owned,house-semi-cavity-3
dwu-962,owned,house-semi-cavity-4
dwu-963,owned,house-end-cavity-3
dwu-965,owned,bung-det-cavity-3
dwu-972,owned,house-end-solid-4
dwu-973,owned,house-det-cavity-4
dwu-976,owned,house-semi-cavity-3
dwu-979,owned,house-det-cavity-4
dwu-986,owned,bung-semi-cavity-3
dwu-987,owned,house-end-solid-6+
dwu-989,owned,bung-det-cavity-4
dwu-990,owned,bung-det-cavity-3
