insulation-state,fuel-use-factor,dwelling-type
minimum,2.487,bung-det-cavity-1
dg,2.211,bung-det-cavity-1
loft100,1.987,bung-det-cavity-1
loft270,1.693,bung-det-cavity-1
dg-loft100,1.766,bung-det-cavity-1
dg-loft270,1.504,bung-det-cavity-1
cwi,1.975,bung-det-cavity-1
dg-cwi,1.755,bung-det-cavity-1
loft100-cwi,1.577,bung-det-cavity-1
loft270-cwi,1.344,bung-det-cavity-1
dg-loft100-cwi,1.402,bung-det-cavity-1
dg-loft270-cwi,1.195,bung-det-cavity-1
minimum,3.167,bung-det-cavity-2
dg,2.815,bung-det-cavity-2
loft100,2.53,bung-det-cavity-2
loft270,2.155,bung-det-cavity-2
dg-loft100,2.249,bung-det-cavity-2
dg-loft270,1.916,bung-det-cavity-2
cwi,2.515,bung-det-cavity-2
dg-cwi,2.235,bung-det-cavity-2
loft100-cwi,2.009,bung-det-cavity-2
loft270-cwi,1.711,bung-det-cavity-2
dg-loft100-cwi,1.785,bung-det-cavity-2
dg-loft270-cwi,1.521,bung-det-cavity-2
minimum,4.037,bung-det-cavity-3
dg,3.589,bung-det-cavity-3
loft100,3.225,bung-det-cavity-3
loft270,2.747,bung-det-cavity-3
dg-loft100,2.866,bung-det-cavity-3
dg-loft270,2.442,bung-det-cavity-3
cwi,3.205,bung-det-cavity-3
dg-cwi,2.849,bung-det-cavity-3
loft100-cwi,2.56,bung-det-cavity-3
loft270-cwi,2.181,bung-det-cavity-3
dg-loft100-cwi,2.276,bung-det-cavity-3
dg-loft270-cwi,1.939,bung-det-cavity-3
minimum,5.287,bung-det-cavity-4
dg,4.699,bung-det-cavity-4
loft100,4.223,bung-det-cavity-4
loft270,3.598,bung-det-cavity-4
dg-loft100,3.753,bung-det-cavity-4
dg-loft270,3.198,bung-det-cavity-4
cwi,4.198,bung-det-cavity-4
dg-cwi,3.731,bung-det-cavity-4
loft100-cwi,3.353,bung-det-cavity-4
loft270-cwi,2.856,bung-det-cavity-4
dg-loft100-cwi,2.98,bung-det-cavity-4
dg-loft270-cwi,2.539,bung-det-cavity-4
minimum,7.815,bung-det-cavity-5
dg,6.947,bung-det-cavity-5
loft100,6.242,bung-det-cavity-5
loft270,5.319,bung-det-cavity-5
dg-loft100,5.549,bung-det-cavity-5
dg-loft270,4.728,bung-det-cavity-5
cwi,6.205,bung-det-cavity-5
dg-cwi,5.516,bung-det-cavity-5
loft100-cwi,4.956,bung-det-cavity-5
loft270-cwi,4.223,bung-det-cavity-5
dg-loft100-cwi,4.406,bung-det-cavity-5
dg-loft270-cwi,3.754,bung-det-cavity-5
minimum,9.112,bung-det-cavity-6+
dg,8.099,bung-det-cavity-6+
loft100,7.278,bung-det-cavity-6+
loft270,6.201,bung-det-cavity-6+
dg-loft100,6.469,bung-det-cavity-6+
dg-loft270,5.512,bung-det-cavity-6+
cwi,7.235,bung-det-cavity-6+
dg-cwi,6.431,bung-det-cavity-6+
loft100-cwi,5.779,bung-det-cavity-6+
loft270-cwi,4.923,bung-det-cavity-6+
dg-loft100-cwi,5.137,bung-det-cavity-6+
dg-loft270-cwi,4.376,bung-det-cavity-6+
minimum,3.222,bung-det-solid-1
dg,2.864,bung-det-solid-1
loft100,2.573,bung-det-solid-1
loft270,2.193,bung-det-solid-1
dg-loft100,2.287,bung-det-solid-1
dg-loft270,1.949,bung-det-solid-1
swi,2.078,bung-det-solid-1
dg-swi,1.847,bung-det-solid-1
loft100-swi,1.66,bung-det-solid-1
loft270-swi,1.414,bung-det-solid-1
dg-loft100-swi,1.475,bung-det-solid-1
dg-loft270-swi,1.257,bung-det-solid-1
minimum,4.103,bung-det-solid-2
dg,3.647,bung-det-solid-2
loft100,3.277,bung-det-solid-2
loft270,2.792,bung-det-solid-2
dg-loft100,2.913,bung-det-solid-2
dg-loft270,2.482,bung-det-solid-2
swi,2.646,bung-det-solid-2
dg-swi,2.352,bung-det-solid-2
loft100-swi,2.114,bung-det-solid-2
loft270-swi,1.801,bung-det-solid-2
dg-loft100-swi,1.879,bung-det-solid-2
dg-loft270-swi,1.601,bung-det-solid-2
minimum,5.23,bung-det-solid-3
dg,4.649,bung-det-solid-3
loft100,4.177,bung-det-solid-3
loft270,3.559,bung-det-solid-3
dg-loft100,3.713,bung-det-solid-3
dg-loft270,3.164,bung-det-solid-3
swi,3.373,bung-det-solid-3
dg-swi,2.999,bung-det-solid-3
loft100-swi,2.694,bung-det-solid-3
loft270-swi,2.296,bung-det-solid-3
dg-loft100-swi,2.395,bung-det-solid-3
dg-loft270-swi,2.041,bung-det-solid-3
minimum,6.848,bung-det-solid-4
dg,6.087,bung-det-solid-4
loft100,5.47,bung-det-solid-4
loft270,4.66,bung-det-solid-4
dg-loft100,4.862,bung-det-solid-4
dg-loft270,4.143,bung-det-solid-4
swi,4.417,bung-det-solid-4
dg-swi,3.926,bung-det-solid-4
loft100-swi,3.528,bung-det-solid-4
loft270-swi,3.006,bung-det-solid-4
dg-loft100-swi,3.136,bung-det-solid-4
dg-loft270-swi,2.672,bung-det-solid-4
minimum,10.124,bung-det-solid-5
dg,8.999,bung-det-solid-5
loft100,8.087,bung-det-solid-5
loft270,6.89,bung-det-solid-5
dg-loft100,7.188,bung-det-solid-5
dg-loft270,6.124,bung-det-solid-5
swi,6.53,bung-det-solid-5
dg-swi,5.805,bung-det-solid-5
loft100-swi,5.216,bung-det-solid-5
loft270-swi,4.444,bung-det-solid-5
dg-loft100-swi,4.636,bung-det-solid-5
dg-loft270-swi,3.95,bung-det-solid-5
minimum,11.803,bung-det-solid-6+
dg,10.492,bung-det-solid-6+
loft100,9.428,bung-det-solid-6+
loft270,8.032,bung-det-solid-6+
dg-loft100,8.38,bung-det-solid-6+
dg-loft270,7.14,bung-det-solid-6+
swi,7.613,bung-det-solid-6+
dg-swi,6.767,bung-det-solid-6+
loft100-swi,6.081,bung-det-solid-6+
loft270-swi,5.181,bung-det-solid-6+
dg-loft100-swi,5.405,bung-det-solid-6+
dg-loft270-swi,4.605,bung-det-solid-6+
minimum,2.131,bung-semi-cavity-1
dg,1.92,bung-semi-cavity-1
loft100,1.666,bung-semi-cavity-1
loft270,1.389,bung-semi-cavity-1
dg-loft100,1.501,bung-semi-cavity-1
dg-loft270,1.252,bung-semi-cavity-1
cwi,1.713,bung-semi-cavity-1
dg-cwi,1.543,bung-semi-cavity-1
loft100-cwi,1.339,bung-semi-cavity-1
loft270-cwi,1.117,bung-semi-cavity-1
dg-loft100-cwi,1.207,bung-semi-cavity-1
dg-loft270-cwi,1.006,bung-semi-cavity-1
minimum,2.713,bung-semi-cavity-2
dg,2.444,bung-semi-cavity-2
loft100,2.121,bung-semi-cavity-2
loft270,1.769,bung-semi-cavity-2
dg-loft100,1.911,bung-semi-cavity-2
dg-loft270,1.594,bung-semi-cavity-2
cwi,2.181,bung-semi-cavity-2
dg-cwi,1.965,bung-semi-cavity-2
loft100-cwi,1.705,bung-semi-cavity-2
loft270-cwi,1.422,bung-semi-cavity-2
dg-loft100-cwi,1.536,bung-semi-cavity-2
dg-loft270-cwi,1.281,bung-semi-cavity-2
minimum,3.512,bung-semi-cavity-3
dg,3.164,bung-semi-cavity-3
loft100,2.746,bung-semi-cavity-3
loft270,2.29,bung-semi-cavity-3
dg-loft100,2.473,bung-semi-cavity-3
dg-loft270,2.063,bung-semi-cavity-3
cwi,2.823,bung-semi-cavity-3
dg-cwi,2.543,bung-semi-cavity-3
loft100-cwi,2.207,bung-semi-cavity-3
loft270-cwi,1.841,bung-semi-cavity-3
