appliance,category,subcategory,household,dwelling,tenure,purpose,mode,fuel,units 1,units 2,units 3,units 4
gas-standard-boiler-D,heating,gas-boiler-sub,household,*,*,space-heating,*,space-heating-gas,2355,785,785,2354
gas-standard-boiler-F,heating,gas-boiler-sub,household,*,*,space-heating,*,space-heating-gas,2551,850,850,2551
gas-standard-boiler-G,heating,gas-boiler-sub,household,*,*,space-heating,*,space-heating-gas,3061,1021,1020,3061
gas-condensing-boiler-A,heating,gas-conboiler-sub,household,*,*,space-heating,*,space-heating-gas,2041,680,680,2041
gas-condensing-boiler-B,heating,gas-conboiler-sub,household,*,*,space-heating,*,space-heating-gas,2087,696,696,2087
oil-standard-boiler-C,heating,oil-boiler-sub,household,*,*,space-heating,*,space-heating-oil,2161,720,720,2161
oil-standard-boiler-D,heating,oil-boiler-sub,household,*,*,space-heating,*,space-heating-oil,2296,776,775,2296
oil-standard-boiler-G,heating,oil-boiler-sub,household,*,*,space-heating,*,space-heating-oil,2826,942,942,2825
oil-condensing-boiler-A,heating,oil-conboiler-sub,household,*,*,space-heating,*,space-heating-oil,2041,680,680,2041
electric-heaters,heating,electric-heating,household,*,*,space-heating,*,space-heating-elect,1837,612,612,1837
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-1,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-2,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-3,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-4,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-5,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
gas-standard-boiler-D,heating,gas-boiler-sub,household,bung-det-cavity-6+,*,water-heating,*,water-heating-gas,1088,1088,1088,1088
