space-heating-elect,water-heating-elect,appliance-elect,space-heating-gas,water-heating-gas,appliance-gas,space-heating-oil,water-heating-oil
0.0706,0.0706,0.0706,0.0166,0.0166,0.0166,0.0173,0.0173
0.0706,0.0706,0.0706,0.0166,0.0166,0.0166,0.0173,0.0173
0.0706,0.0706,0.0706,0.0166,0.0166,0.0166,0.0173,0.0173
0.0706,0.0706,0.0706,0.0166,0.0166,0.0166,0.0173,0.0173
0.0699,0.0699,0.0699,0.0171,0.0171,0.0171,0.0193,0.0193
0.0699,0.0699,0.0699,0.0171,0.0171,0.0171,0.0193,0.0193
0.0699,0.0699,0.0699,0.0171,0.0171,0.0171,0.0193,0.0193
0.0699,0.0699,0.0699,0.0171,0.0171,0.0171,0.0193,0.0193
0.0702,0.0702,0.0702,0.0182,0.0182,0.0182,0.0142,0.0142
0.0702,0.0702,0.0702,0.0182,0.0182,0.0182,0.0142,0.0142
0.0702,0.0702,0.0702,0.0182,0.0182,0.0182,0.0142,0.0142
0.0702,0.0702,0.0702,0.0182,0.0182,0.0182,0.0142,0.0142
0.0709,0.0709,0.0709,0.0185,0.0185,0.0185,0.0173,0.0173
0.0709,0.0709,0.0709,0.0185,0.0185,0.0185,0.0173,0.0173
0.0709,0.0709,0.0709,0.0185,0.0185,0.0185,0.0173,0.0173
0.0709,0.0709,0.0709,0.0185,0.0185,0.0185,0.0173,0.0173
0.0752,0.0752,0.0752,0.0199,0.0199,0.0199,0.0178,0.0178
0.0752,0.0752,0.0752,0.0199,0.0199,0.0199,0.0178,0.0178
0.0752,0.0752,0.0752,0.0199,0.0199,0.0199,0.0178,0.0178
0.0752,0.0752,0.0752,0.0199,0.0199,0.0199,0.0178,0.0178
0.082,0.082,0.082,0.0228,0.0228,0.0228,0.0215,0.0215
0.082,0.082,0.082,0.0228,0.0228,0.0228,0.0215,0.0215
0.082,0.082,0.082,0.0228,0.0228,0.0228,0.0215,0.0215
0.082,0.082,0.082,0.0228,0.0228,0.0228,0.0215,0.0215
