,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
23,E,E,dwu-239,dwu-23900,dwu-408,dwu-40800,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
22,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
21,S,P,dwu-560,dwu-56000,dwu-559,dwu-55900,dwu-343,dwu-34300,dwu-602,dwu-60200,P,S,P,dwu-1020,dwu-102000,dwu-332,dwu-33200,dwu-507,dwu-50700,dwu-264,dwu-26400,P,S,P,dwu-143,dwu-14300,dwu-1011,dwu-101100,dwu-994,dwu-99400,dwu-515,dwu-51500,P,S
20,S,dwu-59200,E,E,E,E,E,E,E,E,dwu-55600,S,dwu-106000,E,E,E,E,E,E,E,E,dwu-98300,S,dwu-100500,E,E,E,E,E,E,E,E,dwu-33800,S
19,S,dwu-592,E,E,E,E,E,E,E,E,dwu-556,S,dwu-1060,E,E,E,E,E,E,E,E,dwu-983,S,dwu-1005,E,E,E,E,E,E,E,E,dwu-338,S
18,S,dwu-33900,E,E,E,E,E,E,E,E,dwu-30300,S,dwu-102500,E,E,E,E,E,E,E,E,dwu-91800,S,dwu-93700,E,E,E,E,E,E,E,E,dwu-110300,S
17,S,dwu-339,E,E,E,E,E,E,E,E,dwu-303,S,dwu-1025,E,E,E,E,E,E,E,E,dwu-918,S,dwu-937,E,E,E,E,E,E,E,E,dwu-1103,S
16,S,dwu-34400,E,E,E,E,E,E,E,E,dwu-50300,S,dwu-90700,E,E,E,E,E,E,E,E,dwu-104700,S,dwu-101200,E,E,E,E,E,E,E,E,dwu-103300,S
15,S,dwu-344,E,E,E,E,E,E,E,E,dwu-503,S,dwu-907,E,E,E,E,E,E,E,E,dwu-1047,S,dwu-1012,E,E,E,E,E,E,E,E,dwu-1033,S
14,S,dwu-53200,E,E,E,E,E,E,E,E,dwu-58400,S,dwu-47500,E,E,E,E,E,E,E,E,dwu-90100,S,dwu-29000,E,E,E,E,E,E,E,E,dwu-102200,S
13,S,dwu-532,E,E,E,E,E,E,E,E,dwu-584,S,dwu-475,E,E,E,E,E,E,E,E,dwu-901,S,dwu-290,E,E,E,E,E,E,E,E,dwu-1022,S
12,S,P,dwu-316,dwu-31600,dwu-547,dwu-54700,dwu-966,dwu-96600,dwu-314,dwu-31400,P,S,P,dwu-1045,dwu-104500,dwu-982,dwu-98200,dwu-964,dwu-96400,dwu-939,dwu-93900,P,S,P,dwu-980,dwu-98000,dwu-902,dwu-90200,dwu-947,dwu-94700,dwu-969,dwu-96900,P,S
11,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
10,S,P,dwu-999,dwu-99900,dwu-992,dwu-99200,dwu-977,dwu-97700,dwu-1027,dwu-102700,P,S,P,dwu-51,dwu-5100,dwu-115,dwu-11500,dwu-536,dwu-53600,dwu-42,dwu-4200,P,S,P,dwu-970,dwu-97000,dwu-1096,dwu-109600,dwu-1056,dwu-105600,dwu-993,dwu-99300,P,S
9,S,dwu-90900,E,E,E,E,E,E,E,E,dwu-93800,S,dwu-27600,E,E,E,E,E,E,E,E,dwu-28700,S,dwu-89900,E,E,E,E,E,E,E,E,dwu-99800,S
8,S,dwu-909,E,E,E,E,E,E,E,E,dwu-938,S,dwu-276,E,E,E,E,E,E,E,E,dwu-287,S,dwu-899,E,E,E,E,E,E,E,E,dwu-998,S
7,S,dwu-100100,E,E,E,E,E,E,E,E,dwu-10700,S,dwu-54300,E,E,E,E,E,E,E,E,dwu-30100,S,dwu-98800,E,E,E,E,E,E,E,E,dwu-103200,S
6,S,dwu-1001,E,E,E,E,E,E,E,E,dwu-107,S,dwu-543,E,E,E,E,E,E,E,E,dwu-301,S,dwu-988,E,E,E,E,E,E,E,E,dwu-1032,S
5,S,dwu-106600,E,E,E,E,E,E,E,E,dwu-104000,S,dwu-28500,E,E,E,E,E,E,E,E,dwu-59300,S,dwu-98400,E,E,E,E,E,E,E,E,dwu-96700,S
4,S,dwu-1066,E,E,E,E,E,E,E,E,dwu-1040,S,dwu-285,E,E,E,E,E,E,E,E,dwu-593,S,dwu-984,E,E,E,E,E,E,E,E,dwu-967,S
3,S,dwu-109300,E,E,E,E,E,E,E,E,dwu-98500,S,dwu-55300,E,E,E,E,E,E,E,E,dwu-34700,S,dwu-28400,E,E,E,E,E,E,E,E,dwu-92000,S
2,S,dwu-1093,E,E,E,E,E,E,E,E,dwu-985,S,dwu-553,E,E,E,E,E,E,E,E,dwu-347,S,dwu-284,E,E,E,E,E,E,E,E,dwu-920,S
1,S,P,dwu-900,dwu-90000,dwu-933,dwu-93300,dwu-1002,dwu-100200,dwu-906,dwu-90600,P,S,P,dwu-981,dwu-98100,dwu-971,dwu-97100,dwu-505,dwu-50500,dwu-148,dwu-14800,P,S,P,dwu-1016,dwu-101600,dwu-991,dwu-99100,dwu-787,dwu-78700,dwu-997,dwu-99700,P,S
0,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J,S,S,S,S,S,S,S,S,S,S,J
